,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
1041,Thomas Carter,Thomas Carter,Thomas Carter,Thomas Carter,Drama Sport,coach carter,Thomas Carter Thomas Carter Thomas Carter Thomas Carter Drama Sport
1042,Roger Michell,Roger Michell,Roger Michell,Roger Michell,Drama Thriller,changing lanes,Roger Michell Roger Michell Roger Michell Roger Michell Drama Thriller
1043,Luis Llosa,Luis Llosa,Luis Llosa,Luis Llosa,Action Adventure Horror Thriller,anaconda,Luis Llosa Luis Llosa Luis Llosa Luis Llosa Action Adventure Horror Thriller
1044,David McNally,David McNally,David McNally,David McNally,Comedy Drama Music Romance,coyote ugly,David McNally David McNally David McNally David McNally Comedy Drama Music Romance
1045,Richard Curtis,Richard Curtis,Richard Curtis,Richard Curtis,Comedy Drama Romance,love actually,Richard Curtis Richard Curtis Richard Curtis Richard Curtis Comedy Drama Romance
1046,John Lasseter,John Lasseter,John Lasseter,John Lasseter,Adventure Animation Comedy Family Fantasy,a bug's life,John Lasseter John Lasseter John Lasseter John Lasseter Adventure Animation Comedy Family Fantasy
1047,Luis Llosa,Luis Llosa,Luis Llosa,Luis Llosa,Action Crime Drama Romance Thriller,the specialist,Luis Llosa Luis Llosa Luis Llosa Luis Llosa Action Crime Drama Romance Thriller
1048,Ron Shelton,Ron Shelton,Ron Shelton,Ron Shelton,Comedy Drama Romance Sport,tin cup,Ron Shelton Ron Shelton Ron Shelton Ron Shelton Comedy Drama Romance Sport
1049,Melville Shavelson,Melville Shavelson,Melville Shavelson,Melville Shavelson,Comedy Family,"yours, mine and ours",Melville Shavelson Melville Shavelson Melville Shavelson Melville Shavelson Comedy Family
1050,Jesse Dylan,Jesse Dylan,Jesse Dylan,Jesse Dylan,Comedy Family Romance Sport,kicking & screaming,Jesse Dylan Jesse Dylan Jesse Dylan Jesse Dylan Comedy Family Romance Sport
1051,Garth Jennings,Garth Jennings,Garth Jennings,Garth Jennings,Adventure Comedy Sci-Fi,the hitchhiker's guide to the galaxy,Garth Jennings Garth Jennings Garth Jennings Garth Jennings Adventure Comedy Sci-Fi
1052,Joel Zwick,Joel Zwick,Joel Zwick,Joel Zwick,Comedy Family Fantasy Romance,fat albert,Joel Zwick Joel Zwick Joel Zwick Joel Zwick Comedy Family Fantasy Romance
1053,Russell Mulcahy,Russell Mulcahy,Russell Mulcahy,Russell Mulcahy,Action Horror Sci-Fi Thriller,resident evil: extinction,Russell Mulcahy Russell Mulcahy Russell Mulcahy Russell Mulcahy Action Horror Sci-Fi Thriller
1054,Frank Coraci,Frank Coraci,Frank Coraci,Frank Coraci,Comedy Romance,blended,Frank Coraci Frank Coraci Frank Coraci Frank Coraci Comedy Romance
1055,Wayne Wang,Wayne Wang,Wayne Wang,Wayne Wang,Adventure Comedy Drama,last holiday,Wayne Wang Wayne Wang Wayne Wang Wayne Wang Adventure Comedy Drama
1056,Curtis Hanson,Curtis Hanson,Curtis Hanson,Curtis Hanson,Action Adventure Crime Thriller,the river wild,Curtis Hanson Curtis Hanson Curtis Hanson Curtis Hanson Action Adventure Crime Thriller
1057,Frank Oz,Frank Oz,Frank Oz,Frank Oz,Drama Family Fantasy,the indian in the cupboard,Frank Oz Frank Oz Frank Oz Frank Oz Drama Family Fantasy
1058,Oliver Stone,Oliver Stone,Oliver Stone,Oliver Stone,Crime Drama Thriller,savages,Oliver Stone Oliver Stone Oliver Stone Oliver Stone Crime Drama Thriller
1059,David R. Ellis,David R. Ellis,David R. Ellis,David R. Ellis,Action Crime Thriller,cellular,David R. Ellis David R. Ellis David R. Ellis David R. Ellis Action Crime Thriller
1060,Peter Howitt,Peter Howitt,Peter Howitt,Peter Howitt,Action Adventure Comedy,johnny english,Peter Howitt Peter Howitt Peter Howitt Peter Howitt Action Adventure Comedy
1061,John A. Davis,John A. Davis,John A. Davis,John A. Davis,Adventure Animation Comedy Family Fantasy,the ant bully,John A. Davis John A. Davis John A. Davis John A. Davis Adventure Animation Comedy Family Fantasy
1062,David Lynch,David Lynch,David Lynch,David Lynch,Action Adventure Sci-Fi,dune,David Lynch David Lynch David Lynch David Lynch Action Adventure Sci-Fi
1063,Sam Mendes,Sam Mendes,Sam Mendes,Sam Mendes,Drama Romance,revolutionary road,Sam Mendes Sam Mendes Sam Mendes Sam Mendes Drama Romance
1064,Richard Donner,Richard Donner,Richard Donner,Richard Donner,Action Crime Drama Thriller,16 blocks,Richard Donner Richard Donner Richard Donner Richard Donner Action Crime Drama Thriller
1065,Mathieu Kassovitz,Mathieu Kassovitz,Mathieu Kassovitz,Mathieu Kassovitz,Action Adventure Sci-Fi Thriller,babylon a.d.,Mathieu Kassovitz Mathieu Kassovitz Mathieu Kassovitz Mathieu Kassovitz Action Adventure Sci-Fi Thriller
1066,John Gray,John Gray,John Gray,John Gray,Action Comedy Crime Drama Thriller,the glimmer man,John Gray John Gray John Gray John Gray Action Comedy Crime Drama Thriller
1067,Harold Ramis,Harold Ramis,Harold Ramis,Harold Ramis,Comedy Romance Sci-Fi,multiplicity,Harold Ramis Harold Ramis Harold Ramis Harold Ramis Comedy Romance Sci-Fi
1068,John Schultz,John Schultz,John Schultz,John Schultz,Adventure Comedy Family Fantasy Sci-Fi,aliens in the attic,John Schultz John Schultz John Schultz John Schultz Adventure Comedy Family Fantasy Sci-Fi
1069,Sean Penn,Sean Penn,Sean Penn,Sean Penn,Crime Drama Mystery Thriller,the pledge,Sean Penn Sean Penn Sean Penn Sean Penn Crime Drama Mystery Thriller
1070,Susan Stroman,Susan Stroman,Susan Stroman,Susan Stroman,Comedy Musical,the producers,Susan Stroman Susan Stroman Susan Stroman Susan Stroman Comedy Musical
1071,Pete Travis,Pete Travis,Pete Travis,Pete Travis,Action Sci-Fi,dredd,Pete Travis Pete Travis Pete Travis Pete Travis Action Sci-Fi
1072,Simon Wincer,Simon Wincer,Simon Wincer,Simon Wincer,Action Adventure Comedy Fantasy,the phantom,Simon Wincer Simon Wincer Simon Wincer Simon Wincer Action Adventure Comedy Fantasy
1073,Billy Bob Thornton,Billy Bob Thornton,Billy Bob Thornton,Billy Bob Thornton,Drama Romance Western,all the pretty horses,Billy Bob Thornton Billy Bob Thornton Billy Bob Thornton Billy Bob Thornton Drama Romance Western
1074,Oliver Stone,Oliver Stone,Oliver Stone,Oliver Stone,Biography Drama History,nixon,Oliver Stone Oliver Stone Oliver Stone Oliver Stone Biography Drama History
1075,Roman Polanski,Roman Polanski,Roman Polanski,Roman Polanski,Mystery Thriller,the ghost writer,Roman Polanski Roman Polanski Roman Polanski Roman Polanski Mystery Thriller
1076,Stephen Sommers,Stephen Sommers,Stephen Sommers,Stephen Sommers,Action Adventure Horror Sci-Fi,deep rising,Stephen Sommers Stephen Sommers Stephen Sommers Stephen Sommers Action Adventure Horror Sci-Fi
1077,Spike Lee,Spike Lee,Spike Lee,Spike Lee,Action Crime Drama Thriller War,miracle at st. anna,Spike Lee Spike Lee Spike Lee Spike Lee Action Crime Drama Thriller War
1078,Yimou Zhang,Yimou Zhang,Yimou Zhang,Yimou Zhang,Drama Romance,curse of the golden flower,Yimou Zhang Yimou Zhang Yimou Zhang Yimou Zhang Drama Romance
1079,Danny Pang,Danny Pang,Danny Pang,Danny Pang,Action Crime Thriller,bangkok dangerous,Danny Pang Danny Pang Danny Pang Danny Pang Action Crime Thriller
1080,Barry Sonnenfeld,Barry Sonnenfeld,Barry Sonnenfeld,Barry Sonnenfeld,Comedy Crime Thriller,big trouble,Barry Sonnenfeld Barry Sonnenfeld Barry Sonnenfeld Barry Sonnenfeld Comedy Crime Thriller
1081,Mike Newell,Mike Newell,Mike Newell,Mike Newell,Drama Romance,love in the time of cholera,Mike Newell Mike Newell Mike Newell Mike Newell Drama Romance
1082,unknown,unknown,unknown,unknown,Drama Fantasy Horror Mystery,the returned,unknown unknown unknown unknown Drama Fantasy Horror Mystery
1083,George P. Cosmatos,George P. Cosmatos,George P. Cosmatos,George P. Cosmatos,Action Thriller,shadow conspiracy,George P. Cosmatos George P. Cosmatos George P. Cosmatos George P. Cosmatos Action Thriller
1084,Oliver Parker,Oliver Parker,Oliver Parker,Oliver Parker,Action Adventure Comedy Crime,johnny english reborn,Oliver Parker Oliver Parker Oliver Parker Oliver Parker Action Adventure Comedy Crime
1085,Lawrence Kasanoff,Lawrence Kasanoff,Lawrence Kasanoff,Lawrence Kasanoff,Action Animation Comedy Family Fantasy,foodfight!,Lawrence Kasanoff Lawrence Kasanoff Lawrence Kasanoff Lawrence Kasanoff Action Animation Comedy Family Fantasy
1086,Ben Affleck,Ben Affleck,Ben Affleck,Ben Affleck,Biography Drama History Thriller,argo,Ben Affleck Ben Affleck Ben Affleck Ben Affleck Biography Drama History Thriller
1087,Andrew Davis,Andrew Davis,Andrew Davis,Andrew Davis,Action Adventure Crime Drama Mystery Thriller,the fugitive,Andrew Davis Andrew Davis Andrew Davis Andrew Davis Action Adventure Crime Drama Mystery Thriller
1088,Andy Tennant,Andy Tennant,Andy Tennant,Andy Tennant,Action Comedy Romance,the bounty hunter,Andy Tennant Andy Tennant Andy Tennant Andy Tennant Action Comedy Romance
1089,Barry Levinson,Barry Levinson,Barry Levinson,Barry Levinson,Crime Drama Thriller,sleepers,Barry Levinson Barry Levinson Barry Levinson Barry Levinson Crime Drama Thriller
1090,George P. Cosmatos,George P. Cosmatos,George P. Cosmatos,George P. Cosmatos,Action Adventure Thriller War,rambo: first blood part ii,George P. Cosmatos George P. Cosmatos George P. Cosmatos George P. Cosmatos Action Adventure Thriller War
1091,Brian Gibson,Brian Gibson,Brian Gibson,Brian Gibson,Drama Thriller,the juror,Brian Gibson Brian Gibson Brian Gibson Brian Gibson Drama Thriller
1092,Norman Ferguson,Norman Ferguson,Norman Ferguson,Norman Ferguson,Animation Family Fantasy Musical,pinocchio,Norman Ferguson Norman Ferguson Norman Ferguson Norman Ferguson Animation Family Fantasy Musical
1093,Michael Cimino,Michael Cimino,Michael Cimino,Michael Cimino,Adventure Drama Western,heaven's gate,Michael Cimino Michael Cimino Michael Cimino Michael Cimino Adventure Drama Western
1094,Len Wiseman,Len Wiseman,Len Wiseman,Len Wiseman,Action Adventure Fantasy Sci-Fi Thriller,underworld: evolution,Len Wiseman Len Wiseman Len Wiseman Len Wiseman Action Adventure Fantasy Sci-Fi Thriller
1095,Gus Van Sant,Gus Van Sant,Gus Van Sant,Gus Van Sant,Drama,finding forrester,Gus Van Sant Gus Van Sant Gus Van Sant Gus Van Sant Drama
1096,Betty Thomas,Betty Thomas,Betty Thomas,Betty Thomas,Comedy Drama,28 days,Betty Thomas Betty Thomas Betty Thomas Betty Thomas Comedy Drama
1097,Louis Leterrier,Louis Leterrier,Louis Leterrier,Louis Leterrier,Action Crime Drama Thriller,unleashed,Louis Leterrier Louis Leterrier Louis Leterrier Louis Leterrier Action Crime Drama Thriller
1098,Roger Kumble,Roger Kumble,Roger Kumble,Roger Kumble,Comedy Romance,the sweetest thing,Roger Kumble Roger Kumble Roger Kumble Roger Kumble Comedy Romance
1099,Sydney Pollack,Sydney Pollack,Sydney Pollack,Sydney Pollack,Drama Mystery Thriller,the firm,Sydney Pollack Sydney Pollack Sydney Pollack Sydney Pollack Drama Mystery Thriller
1100,Burr Steers,Burr Steers,Burr Steers,Burr Steers,Drama Fantasy Romance,charlie st. cloud,Burr Steers Burr Steers Burr Steers Burr Steers Drama Fantasy Romance
1101,Simon West,Simon West,Simon West,Simon West,Action Crime Thriller,the mechanic,Simon West Simon West Simon West Simon West Action Crime Thriller
1102,Phil Lord,Phil Lord,Phil Lord,Phil Lord,Action Comedy Crime,21 jump street,Phil Lord Phil Lord Phil Lord Phil Lord Action Comedy Crime
1103,Roger Michell,Roger Michell,Roger Michell,Roger Michell,Comedy Drama Romance,notting hill,Roger Michell Roger Michell Roger Michell Roger Michell Comedy Drama Romance
1104,Peter Lord,Peter Lord,Peter Lord,Peter Lord,Adventure Animation Comedy Drama Family,chicken run,Peter Lord Peter Lord Peter Lord Peter Lord Adventure Animation Comedy Drama Family
1105,John Hamburg,John Hamburg,John Hamburg,John Hamburg,Comedy Romance,along came polly,John Hamburg John Hamburg John Hamburg John Hamburg Comedy Romance
1106,Reginald Hudlin,Reginald Hudlin,Reginald Hudlin,Reginald Hudlin,Comedy Drama Romance,boomerang,Reginald Hudlin Reginald Hudlin Reginald Hudlin Reginald Hudlin Comedy Drama Romance
1107,Paul Feig,Paul Feig,Paul Feig,Paul Feig,Action Comedy Crime,the heat,Paul Feig Paul Feig Paul Feig Paul Feig Action Comedy Crime
1108,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Joseph L. Mankiewicz,Biography Drama History Romance,cleopatra,Joseph L. Mankiewicz Joseph L. Mankiewicz Joseph L. Mankiewicz Joseph L. Mankiewicz Biography Drama History Romance
1109,Frank Coraci,Frank Coraci,Frank Coraci,Frank Coraci,Action Comedy Sport,here comes the boom,Frank Coraci Frank Coraci Frank Coraci Frank Coraci Action Comedy Sport
1110,Carl Franklin,Carl Franklin,Carl Franklin,Carl Franklin,Crime Drama Mystery Thriller,high crimes,Carl Franklin Carl Franklin Carl Franklin Carl Franklin Crime Drama Mystery Thriller
1111,Barbra Streisand,Barbra Streisand,Barbra Streisand,Barbra Streisand,Comedy Drama Romance,the mirror has two faces,Barbra Streisand Barbra Streisand Barbra Streisand Barbra Streisand Comedy Drama Romance
1112,Mark Pellington,Mark Pellington,Mark Pellington,Mark Pellington,Drama Horror Mystery Thriller,the mothman prophecies,Mark Pellington Mark Pellington Mark Pellington Mark Pellington Drama Horror Mystery Thriller
1113,Larry Charles,Larry Charles,Larry Charles,Larry Charles,Comedy,brüno,Larry Charles Larry Charles Larry Charles Larry Charles Comedy
1114,John Glen,John Glen,John Glen,John Glen,Action Adventure Thriller,licence to kill,John Glen John Glen John Glen John Glen Action Adventure Thriller
1115,Catherine Hardwicke,Catherine Hardwicke,Catherine Hardwicke,Catherine Hardwicke,Fantasy Horror Mystery Thriller,red riding hood,Catherine Hardwicke Catherine Hardwicke Catherine Hardwicke Catherine Hardwicke Fantasy Horror Mystery Thriller
1116,John Herzfeld,John Herzfeld,John Herzfeld,John Herzfeld,Action Crime Drama Thriller,15 minutes,John Herzfeld John Herzfeld John Herzfeld John Herzfeld Action Crime Drama Thriller
1117,Annabel Jankel,Annabel Jankel,Annabel Jankel,Annabel Jankel,Adventure Comedy Family Fantasy Sci-Fi,super mario bros.,Annabel Jankel Annabel Jankel Annabel Jankel Annabel Jankel Adventure Comedy Family Fantasy Sci-Fi
1118,Andrew Niccol,Andrew Niccol,Andrew Niccol,Andrew Niccol,Crime Drama Thriller,lord of war,Andrew Niccol Andrew Niccol Andrew Niccol Andrew Niccol Crime Drama Thriller
1119,Julie Anne Robinson,Julie Anne Robinson,Julie Anne Robinson,Julie Anne Robinson,Action Comedy Crime Romance Thriller,one for the money,Julie Anne Robinson Julie Anne Robinson Julie Anne Robinson Julie Anne Robinson Action Comedy Crime Romance Thriller
1120,Evan Goldberg,Evan Goldberg,Evan Goldberg,Evan Goldberg,Comedy,the interview,Evan Goldberg Evan Goldberg Evan Goldberg Evan Goldberg Comedy
1121,Sngmoo Lee,Sngmoo Lee,Sngmoo Lee,Sngmoo Lee,Action Fantasy Western,the warrior's way,Sngmoo Lee Sngmoo Lee Sngmoo Lee Sngmoo Lee Action Fantasy Western
1122,unknown,unknown,unknown,unknown,Comedy War,mchale's navy,unknown unknown unknown unknown Comedy War
1123,Jean-Pierre Jeunet,Jean-Pierre Jeunet,Jean-Pierre Jeunet,Jean-Pierre Jeunet,Action Comedy Crime,micmacs,Jean-Pierre Jeunet Jean-Pierre Jeunet Jean-Pierre Jeunet Jean-Pierre Jeunet Action Comedy Crime
1124,Curtis Hanson,Curtis Hanson,Curtis Hanson,Curtis Hanson,Drama Music,8 mile,Curtis Hanson Curtis Hanson Curtis Hanson Curtis Hanson Drama Music
1125,Jamel Debbouze,Jamel Debbouze,Jamel Debbouze,Jamel Debbouze,Adventure Animation Comedy Family,animal kingdom: let's go ape,Jamel Debbouze Jamel Debbouze Jamel Debbouze Jamel Debbouze Adventure Animation Comedy Family
1126,Brian Helgeland,Brian Helgeland,Brian Helgeland,Brian Helgeland,Action Adventure Romance,a knight's tale,Brian Helgeland Brian Helgeland Brian Helgeland Brian Helgeland Action Adventure Romance
1127,Gordon Chan,Gordon Chan,Gordon Chan,Gordon Chan,Action Comedy Fantasy,the medallion,Gordon Chan Gordon Chan Gordon Chan Gordon Chan Action Comedy Fantasy
1128,M. Night Shyamalan,M. Night Shyamalan,M. Night Shyamalan,M. Night Shyamalan,Drama Mystery Thriller,the sixth sense,M. Night Shyamalan M. Night Shyamalan M. Night Shyamalan M. Night Shyamalan Drama Mystery Thriller
1129,Asger Leth,Asger Leth,Asger Leth,Asger Leth,Action Crime Thriller,man on a ledge,Asger Leth Asger Leth Asger Leth Asger Leth Action Crime Thriller
1130,David Frankel,David Frankel,David Frankel,David Frankel,Comedy,the big year,David Frankel David Frankel David Frankel David Frankel Comedy
1131,David O. Russell,David O. Russell,David O. Russell,David O. Russell,Crime Drama,american hustle,David O. Russell David O. Russell David O. Russell David O. Russell Crime Drama
1132,Anne Fletcher,Anne Fletcher,Anne Fletcher,Anne Fletcher,Comedy Drama Romance,the proposal,Anne Fletcher Anne Fletcher Anne Fletcher Anne Fletcher Comedy Drama Romance
1133,Bruce Beresford,Bruce Beresford,Bruce Beresford,Bruce Beresford,Crime Mystery Thriller,double jeopardy,Bruce Beresford Bruce Beresford Bruce Beresford Bruce Beresford Crime Mystery Thriller
1134,Robert Zemeckis,Robert Zemeckis,Robert Zemeckis,Robert Zemeckis,Adventure Comedy Sci-Fi,back to the future part ii,Robert Zemeckis Robert Zemeckis Robert Zemeckis Robert Zemeckis Adventure Comedy Sci-Fi
1135,Luc Besson,Luc Besson,Luc Besson,Luc Besson,Action Sci-Fi Thriller,lucy,Luc Besson Luc Besson Luc Besson Luc Besson Action Sci-Fi Thriller
1136,Sam Taylor-Johnson,Sam Taylor-Johnson,Sam Taylor-Johnson,Sam Taylor-Johnson,Drama Romance,fifty shades of grey,Sam Taylor-Johnson Sam Taylor-Johnson Sam Taylor-Johnson Sam Taylor-Johnson Drama Romance
1137,Robert Rodriguez,Robert Rodriguez,Robert Rodriguez,Robert Rodriguez,Action Adventure Comedy Family Sci-Fi,spy kids 3-d: game over,Robert Rodriguez Robert Rodriguez Robert Rodriguez Robert Rodriguez Action Adventure Comedy Family Sci-Fi
1138,Joel Schumacher,Joel Schumacher,Joel Schumacher,Joel Schumacher,Crime Drama Thriller,a time to kill,Joel Schumacher Joel Schumacher Joel Schumacher Joel Schumacher Crime Drama Thriller
1139,Shawn Levy,Shawn Levy,Shawn Levy,Shawn Levy,Comedy Family,cheaper by the dozen,Shawn Levy Shawn Levy Shawn Levy Shawn Levy Comedy Family
1140,Peter Berg,Peter Berg,Peter Berg,Peter Berg,Action Biography Drama Thriller War,lone survivor,Peter Berg Peter Berg Peter Berg Peter Berg Action Biography Drama Thriller War
1141,Penny Marshall,Penny Marshall,Penny Marshall,Penny Marshall,Comedy Drama Sport,a league of their own,Penny Marshall Penny Marshall Penny Marshall Penny Marshall Comedy Drama Sport
1142,James Wan,James Wan,James Wan,James Wan,Horror Mystery Thriller,the conjuring 2,James Wan James Wan James Wan James Wan Horror Mystery Thriller
1143,David Fincher,David Fincher,David Fincher,David Fincher,Biography Drama,the social network,David Fincher David Fincher David Fincher David Fincher Biography Drama
1144,Ken Kwapis,Ken Kwapis,Ken Kwapis,Ken Kwapis,Comedy Drama Romance,he's just not that into you,Ken Kwapis Ken Kwapis Ken Kwapis Ken Kwapis Comedy Drama Romance
1145,David Zucker,David Zucker,David Zucker,David Zucker,Comedy,scary movie 4,David Zucker David Zucker David Zucker David Zucker Comedy
1146,Wes Craven,Wes Craven,Wes Craven,Wes Craven,Horror Mystery,scream 3,Wes Craven Wes Craven Wes Craven Wes Craven Horror Mystery
1147,Robert Zemeckis,Robert Zemeckis,Robert Zemeckis,Robert Zemeckis,Adventure Comedy Sci-Fi Western,back to the future part iii,Robert Zemeckis Robert Zemeckis Robert Zemeckis Robert Zemeckis Adventure Comedy Sci-Fi Western
1148,Etan Cohen,Etan Cohen,Etan Cohen,Etan Cohen,Comedy Crime,get hard,Etan Cohen Etan Cohen Etan Cohen Etan Cohen Comedy Crime
1149,Francis Ford Coppola,Francis Ford Coppola,Francis Ford Coppola,Francis Ford Coppola,Fantasy Horror Romance,bram stoker's dracula,Francis Ford Coppola Francis Ford Coppola Francis Ford Coppola Francis Ford Coppola Fantasy Horror Romance
1150,Nora Ephron,Nora Ephron,Nora Ephron,Nora Ephron,Biography Drama Romance,julie & julia,Nora Ephron Nora Ephron Nora Ephron Nora Ephron Biography Drama Romance
1151,Brian Helgeland,Brian Helgeland,Brian Helgeland,Brian Helgeland,Biography Drama Sport,42,Brian Helgeland Brian Helgeland Brian Helgeland Brian Helgeland Biography Drama Sport
1152,Anthony Minghella,Anthony Minghella,Anthony Minghella,Anthony Minghella,Crime Drama Thriller,the talented mr. ripley,Anthony Minghella Anthony Minghella Anthony Minghella Anthony Minghella Crime Drama Thriller
1153,Bobby Farrelly,Bobby Farrelly,Bobby Farrelly,Bobby Farrelly,Comedy,dumb and dumber to,Bobby Farrelly Bobby Farrelly Bobby Farrelly Bobby Farrelly Comedy
1154,Frank Marshall,Frank Marshall,Frank Marshall,Frank Marshall,Adventure Drama Family,eight below,Frank Marshall Frank Marshall Frank Marshall Frank Marshall Adventure Drama Family
1155,Nancy Meyers,Nancy Meyers,Nancy Meyers,Nancy Meyers,Comedy Drama,the intern,Nancy Meyers Nancy Meyers Nancy Meyers Nancy Meyers Comedy Drama
1156,Tim Story,Tim Story,Tim Story,Tim Story,Action Comedy,ride along 2,Tim Story Tim Story Tim Story Tim Story Action Comedy
1157,Michael Mann,Michael Mann,Michael Mann,Michael Mann,Action Adventure Drama Romance War,the last of the mohicans,Michael Mann Michael Mann Michael Mann Michael Mann Action Adventure Drama Romance War
1158,Taylor Hackford,Taylor Hackford,Taylor Hackford,Taylor Hackford,Biography Drama Music,ray,Taylor Hackford Taylor Hackford Taylor Hackford Taylor Hackford Biography Drama Music
1159,Frank Miller,Frank Miller,Frank Miller,Frank Miller,Crime Thriller,sin city,Frank Miller Frank Miller Frank Miller Frank Miller Crime Thriller
1160,Pete Travis,Pete Travis,Pete Travis,Pete Travis,Crime Drama Mystery Thriller,vantage point,Pete Travis Pete Travis Pete Travis Pete Travis Crime Drama Mystery Thriller
1161,John Hamburg,John Hamburg,John Hamburg,John Hamburg,Comedy Romance,"i love you, man",John Hamburg John Hamburg John Hamburg John Hamburg Comedy Romance
1162,Bobby Farrelly,Bobby Farrelly,Bobby Farrelly,Bobby Farrelly,Comedy Drama Fantasy Romance,shallow hal,Bobby Farrelly Bobby Farrelly Bobby Farrelly Bobby Farrelly Comedy Drama Fantasy Romance
1163,Oliver Stone,Oliver Stone,Oliver Stone,Oliver Stone,Drama History Thriller,jfk,Oliver Stone Oliver Stone Oliver Stone Oliver Stone Drama History Thriller
1164,John Whitesell,John Whitesell,John Whitesell,John Whitesell,Comedy Crime,big momma's house 2,John Whitesell John Whitesell John Whitesell John Whitesell Comedy Crime
1165,Gore Verbinski,Gore Verbinski,Gore Verbinski,Gore Verbinski,Adventure Comedy Crime Romance,the mexican,Gore Verbinski Gore Verbinski Gore Verbinski Gore Verbinski Adventure Comedy Crime Romance
1166,Angelina Jolie Pitt,Angelina Jolie Pitt,Angelina Jolie Pitt,Angelina Jolie Pitt,Biography Drama Sport War,unbroken,Angelina Jolie Pitt Angelina Jolie Pitt Angelina Jolie Pitt Angelina Jolie Pitt Biography Drama Sport War
1167,Burr Steers,Burr Steers,Burr Steers,Burr Steers,Comedy Drama Family Fantasy Romance,17 again,Burr Steers Burr Steers Burr Steers Burr Steers Comedy Drama Family Fantasy Romance
1168,Nick Cassavetes,Nick Cassavetes,Nick Cassavetes,Nick Cassavetes,Comedy Romance,the other woman,Nick Cassavetes Nick Cassavetes Nick Cassavetes Nick Cassavetes Comedy Romance
1169,David R. Ellis,David R. Ellis,David R. Ellis,David R. Ellis,Horror,the final destination,David R. Ellis David R. Ellis David R. Ellis David R. Ellis Horror
1170,Steven Spielberg,Steven Spielberg,Steven Spielberg,Steven Spielberg,Drama History Thriller,bridge of spies,Steven Spielberg Steven Spielberg Steven Spielberg Steven Spielberg Drama History Thriller
1171,John Moore,John Moore,John Moore,John Moore,Action Drama Thriller War,behind enemy lines,John Moore John Moore John Moore John Moore Action Drama Thriller War
1172,Nicholas Stoller,Nicholas Stoller,Nicholas Stoller,Nicholas Stoller,Comedy Music,get him to the greek,Nicholas Stoller Nicholas Stoller Nicholas Stoller Nicholas Stoller Comedy Music
1173,Peter Chelsom,Peter Chelsom,Peter Chelsom,Peter Chelsom,Comedy Drama Romance,shall we dance,Peter Chelsom Peter Chelsom Peter Chelsom Peter Chelsom Comedy Drama Romance
1174,Joe Dante,Joe Dante,Joe Dante,Joe Dante,Action Adventure Comedy Family Sci-Fi,small soldiers,Joe Dante Joe Dante Joe Dante Joe Dante Action Adventure Comedy Family Sci-Fi
1175,Mark A.Z. Dippé,Mark A.Z. Dippé,Mark A.Z. Dippé,Mark A.Z. Dippé,Action Horror,spawn,Mark A.Z. Dippé Mark A.Z. Dippé Mark A.Z. Dippé Mark A.Z. Dippé Action Horror
1176,Kevin Reynolds,Kevin Reynolds,Kevin Reynolds,Kevin Reynolds,Action Adventure Drama Romance Thriller,the count of monte cristo,Kevin Reynolds Kevin Reynolds Kevin Reynolds Kevin Reynolds Action Adventure Drama Romance Thriller
1177,Brad Furman,Brad Furman,Brad Furman,Brad Furman,Crime Drama Thriller,the lincoln lawyer,Brad Furman Brad Furman Brad Furman Brad Furman Crime Drama Thriller
1178,Christopher Nolan,Christopher Nolan,Christopher Nolan,Christopher Nolan,Drama Mystery Sci-Fi Thriller,the prestige,Christopher Nolan Christopher Nolan Christopher Nolan Christopher Nolan Drama Mystery Sci-Fi Thriller
1179,Sean Anders,Sean Anders,Sean Anders,Sean Anders,Comedy Crime,horrible bosses 2,Sean Anders Sean Anders Sean Anders Sean Anders Comedy Crime
1180,Cal Brunker,Cal Brunker,Cal Brunker,Cal Brunker,Adventure Animation Comedy Family Sci-Fi,escape from planet earth,Cal Brunker Cal Brunker Cal Brunker Cal Brunker Adventure Animation Comedy Family Sci-Fi
1181,Mel Gibson,Mel Gibson,Mel Gibson,Mel Gibson,Action Adventure Drama Thriller,apocalypto,Mel Gibson Mel Gibson Mel Gibson Mel Gibson Action Adventure Drama Thriller
1182,John Glen,John Glen,John Glen,John Glen,Action Adventure Thriller,the living daylights,John Glen John Glen John Glen John Glen Action Adventure Thriller
1183,Nimród Antal,Nimród Antal,Nimród Antal,Nimród Antal,Action Adventure Sci-Fi Thriller,predators,Nimród Antal Nimród Antal Nimród Antal Nimród Antal Action Adventure Sci-Fi Thriller
1184,Ivan Reitman,Ivan Reitman,Ivan Reitman,Ivan Reitman,Comedy Crime Romance,legal eagles,Ivan Reitman Ivan Reitman Ivan Reitman Ivan Reitman Comedy Crime Romance
1185,David Koepp,David Koepp,David Koepp,David Koepp,Mystery Thriller,secret window,David Koepp David Koepp David Koepp David Koepp Mystery Thriller
1186,Alejandro Agresti,Alejandro Agresti,Alejandro Agresti,Alejandro Agresti,Drama Fantasy Romance,the lake house,Alejandro Agresti Alejandro Agresti Alejandro Agresti Alejandro Agresti Drama Fantasy Romance
1187,Iain Softley,Iain Softley,Iain Softley,Iain Softley,Horror Mystery Thriller,the skeleton key,Iain Softley Iain Softley Iain Softley Iain Softley Horror Mystery Thriller
